SYMBOL,NAME,PRICE,CHANGE,CHANGE RATE,VOLUME,AVERAGE VOLUME,MARKET CAP,PE RATIO
DOCU,"DocuSign, Inc.",56.27,+10.02,+21.66%,25.727M,2.575M,9.873B,N/A
MXCHF,"Orbia Advance Corporation, S.A.B. de C.V.",2.0000,+0.3286,+19.66%,"152,410","24,220",4.53B,16.81
YZCHF,Yanzhou Coal Mining Company Limited,1.0200,+0.1400,+15.91%,"27,027","3,471",6.553B,N/A
GWRE,"Guidewire Software, Inc.",109.41,+14.00,+14.67%,4.968M,"648,076",7.869B,437.64
LGF-B,Lions Gate Entertainment Corp.,10.28,+0.78,+8.21%,"925,380","832,395",2.027B,N/A
LULU,Lululemon Athletica Inc.,203.14,+14.73,+7.82%,10.969M,2.094M,25.939B,50.10
WMMVF,"Wal-Mart de México, S.A.B. de C.V.",3.0000,+0.2100,+7.53%,"24,120","12,180",52.888B,29.41
CCC,Clarivate Analytics Plc,17.28,+1.12,+6.93%,10.318M,"914,787",5.752B,N/A
LGF-A,Lions Gate Entertainment Corp.,10.87,+0.70,+6.88%,1.497M,1.071M,2.002B,N/A
CLDR,"Cloudera, Inc.",8.80,+0.52,+6.28%,18.406M,9.965M,1.958B,N/A
RLLCF,Rolls-Royce Holdings plc,0.0054,+0.0003,+5.88%,"575,141",2.893M,117.724B,N/A
GFSZY,G4S plc,11.46,+0.63,+5.82%,"31,932","39,757",3.479B,14.24
RKLIF,Rentokil Initial plc,5.77,+0.31,+5.64%,"138,508","17,971",10.54B,42.74
BRC,Brady Corporation,51.05,+2.50,+5.15%,"704,361","259,963",2.622B,20.87
BDORY,Banco do Brasil S.A.,12.07,+0.59,+5.14%,"354,585","273,277",32.477B,10.66
CREE,"Cree, Inc.",45.82,+2.20,+5.04%,2.796M,1.781M,4.592B,N/A
CGC,Canopy Growth Corporation,27.66,+1.26,+4.77%,7.535M,4.653M,8.624B,N/A
LIVN,LivaNova PLC,80.53,+3.61,+4.69%,"291,076","371,676",3.933B,N/A
EHC,Encompass Health Corporation,63.88,+2.86,+4.69%,"942,080","652,207",6.278B,20.54
SNAP,Snap Inc.,16.62,+0.75,+4.73%,29.129M,28.071M,22.866B,N/A
COHR,"Coherent, Inc.",163.00,+7.11,+4.56%,"390,365","316,788",3.476B,31.47
SYMC,Symantec Corporation,24.52,+1.05,+4.47%,15.52M,9.487M,15.154B,146.83
CLNY,"Colony Capital, Inc.",5.25,+0.22,+4.37%,5.799M,2.796M,2.291B,N/A
BBD,Banco Bradesco S.A.,8.39,+0.33,+4.09%,21.427M,13.639M,60.893B,11.99
NAV,Navistar International Corporation,26.38,+1.03,+4.06%,"919,751","455,320",2.373B,8.56
ZNGA,Zynga Inc.,5.86,+0.22,+3.90%,27.84M,20.141M,5.586B,N/A
BACHF,Bank of China Limited,0.4000,+0.0150,+3.90%,"36,749","391,674",141.288B,4.44
BSM,"Black Stone Minerals, L.P.",14.76,+0.63,+4.46%,"706,887","234,614",4.497B,9.46
TKAMY,thyssenkrupp AG,13.41,+0.50,+3.87%,"23,247","40,941",7.949B,894.00
RETA,"Reata Pharmaceuticals, Inc.",86.10,+3.18,+3.84%,"268,904","226,831",2.41B,N/A
YETI,"YETI Holdings, Inc.",30.35,+1.12,+3.83%,1.515M,1.446M,2.49B,39.16
ACB,Aurora Cannabis Inc.,6.08,+0.22,+3.75%,15.337M,11.484M,5.815B,28.15
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",61.42,+2.22,+3.75%,2.43M,1.417M,3.52B,29.40
TV,"Grupo Televisa, S.A.B.",9.18,+0.33,+3.73%,1.029M,2.639M,5.301B,16.54
PRGO,Perrigo Company plc,49.92,+1.76,+3.65%,1.202M,1.236M,6.597B,78.12
DKILY,"Daikin Industries,Ltd.",13.20,+0.47,+3.72%,"158,528","78,915",36.14B,21.23
UPMMY,UPM-Kymmene Oyj,28.00,+1.00,+3.70%,"36,067","55,835",14.143B,N/A
BBU,Brookfield Business Partners L.P.,37.59,+1.28,+3.53%,"72,560","54,888",2.693B,36.04
COMM,"CommScope Holding Company, Inc.",11.27,+0.40,+3.68%,5.184M,3.89M,2.161B,N/A
WEICY,"Weichai Power Co., Ltd.",12.94,+0.46,+3.67%,"26,124","36,595",12.681B,10.64
ITUB,Itaú Unibanco Holding S.A.,8.58,+0.30,+3.62%,23.599M,18.081M,77.18B,13.41
CMPR,Cimpress N.V.,117.45,+4.10,+3.62%,"165,367","215,285",3.486B,39.15
ALXN,"Alexion Pharmaceuticals, Inc.",103.84,+3.56,+3.55%,3.046M,2.26M,23.395B,17.60
ACH,Aluminum Corporation of China Limited,7.88,+0.26,+3.41%,"32,998","43,588",8.01B,24.25
CURLF,"Curaleaf Holdings, Inc.",7.50,+0.25,+3.51%,"471,584","599,660",3.393B,N/A
TPR,"Tapestry, Inc.",23.69,+0.77,+3.36%,8.112M,5.036M,6.122B,10.72
SAFRY,Safran SA,39.30,+1.29,+3.39%,"40,611","65,611",63.481B,27.53
PS,"Pluralsight, Inc.",15.90,+0.50,+3.25%,2.159M,2.475M,2.226B,8.14
ELAN,Elanco Animal Health Incorporated,27.35,+0.86,+3.25%,6.932M,3.543M,9.705B,66.71
SNX,SYNNEX Corporation,90.59,+2.90,+3.31%,"447,941","427,515",4.627B,11.18
RH,RH,149.07,+4.50,+3.11%,1.075M,"897,074",2.746B,24.52
IPHI,Inphi Corporation,63.10,+1.89,+3.09%,1.67M,"906,766",2.865B,N/A
WWE,"World Wrestling Entertainment, Inc.",73.57,+2.20,+3.08%,"679,501",1.208M,5.792B,88.21
PBI-PB,Pitney Bowes Inc. NT 43,21.45,+0.64,+3.08%,"42,983",N/A,3.998B,16.26
CRON,Cronos Group Inc.,11.93,+0.35,+3.02%,7.245M,4.249M,3.714B,N/A
